age;player_height;player_weight;college;country;draft_year;draft_round
26;231.14;137.438376;None;USA;1993;2
37;205.74;108.86208;Penn State;USA;1981;3
31;187.96;81.64656;Oral Roberts;USA;1989;2
39;210.82;117.93392;Ohio State;USA;1981;1
22;193.04;86.18248;North Carolina;USA;1996;2
28;187.96;87.089664;Jacksonville;USA;1990;1
31;195.58;95.25432;Iowa State;USA;1988;1
29;205.74;108.86208;St. John's (NY);USA;1990;1
23;200.66;102.0582;Texas Tech;USA;1996;2
24;193.04;94.347136;California;USA;1994;1
24;203.2;116.119552;Alabama;USA;1995;1
29;198.12;95.25432;Georgetown;USA;Undrafted;Undrafted
25;200.66;86.18248;South Carolina;USA;1994;2
22;203.2;115.66596;Michigan State;USA;1996;2
25;198.12;81.64656;St. John's (NY);USA;Undrafted;Undrafted
31;203.2;99.79024;St. Mary's (TX);USA;Undrafted;Undrafted
26;187.96;81.64656;Alabama;USA;1993;1
24;203.2;95.25432;Michigan;USA;1994;1
33;208.28;109.769264;UCLA;USA;1987;4
26;208.28;111.13004;Georgia Tech;USA;1994;Undrafted
26;195.58;97.52228;Nevada-Las Vegas;USA;1993;1
27;208.28;122.46984;Arizona State;USA;1991;2
27;195.58;83.007336;North Carolina;USA;1992;1
24;187.96;80.285784;Boston College;USA;1994;2
34;210.82;111.13004;Tulane;USA;1985;2
23;210.82;129.27372;Grand Canyon;USA;Undrafted;Undrafted
31;208.28;111.13004;Clemson;USA;1987;1
30;190.5;86.18248;Bradley;USA;1988;1
24;203.2;113.398;Kentucky;USA;1993;1
29;213.36;127.00576;Louisville;USA;1990;1
34;193.04;86.18248;Iowa State;USA;1986;2
29;210.82;111.13004;New Orleans;USA;1993;1
24;205.74;104.32616;Connecticut;USA;1994;1
23;203.2;116.119552;Cincinnati;USA;1994;2
24;200.66;104.32616;Connecticut;USA;1995;2
23;195.58;88.904032;Colorado;USA;1995;2
28;177.8;72.57472;Northern Illinois;USA;Undrafted;Undrafted
31;203.2;98.883056;Notre Dame;USA;1987;3
23;203.2;113.398;Georgetown;USA;1995;2
27;208.28;106.59412;UCLA;USA;1992;1
37;203.2;104.32616;Georgia;USA;1982;1
30;210.82;102.0582;None;USA;1989;2
31;218.44;113.398;Georgetown;Congo;1991;1
27;198.12;92.98636;Pepperdine;USA;1992;1
25;205.74;112.490816;Providence;USA;1994;1
25;200.66;108.86208;Clemson;USA;1995;Undrafted
34;208.28;106.59412;Washington;USA;1985;1
30;205.74;92.98636;Alabama;USA;1987;1
30;208.28;117.93392;Syracuse;USA;1990;1
24;210.82;102.0582;Duquesne;USA;1994;2
